iter	Passed	Remaining
0	1496	1495042
1	1501	749142
2	1505	500213
3	1511	376376
4	1515	301653
5	1560	258574
6	1565	222024
7	1572	194983
8	1576	173629
9	1580	156495
10	1586	142631
11	1590	130968
12	1596	121232
13	1599	112640
14	1601	105180
15	1604	98655
16	1606	92899
17	1612	87945
18	1614	83346
19	1616	79216
20	1619	75482
21	1620	72043
22	1623	68975
23	1625	66097
24	1626	63444
25	1628	60995
26	1629	58729
27	1631	56623
28	1632	54669
29	1634	52847
30	1635	51135
31	1638	49568
32	1640	48070
33	1650	46892
34	1653	45589
35	1655	44327
36	1657	43127
37	1658	41989
38	1660	40916
39	1663	39921
40	1664	38941
41	1667	38036
42	1669	37146
43	1670	36296
44	1672	35487
45	1673	34709
46	1675	33966
47	1676	33252
48	1678	32568
49	1680	31922
50	1682	31303
51	1683	30695
52	1685	30111
53	1686	29548
54	1688	29005
55	1689	28482
56	1691	27976
57	1692	27487
58	1694	27027
59	1696	26577
60	1697	26137
61	1699	25707
62	1700	25291
63	1702	24892
64	1703	24504
65	1704	24125
66	1706	23757
67	1707	23401
68	1710	23079
69	1711	22742
70	1712	22412
71	1714	22092
72	1715	21785
73	1716	21485
74	1718	21189
75	1719	20902
76	1720	20622
77	1721	20349
78	1722	20084
79	1725	19848
80	1727	19596
81	1728	19351
82	1729	19104
83	1730	18870
84	1731	18642
85	1733	18418
86	1734	18198
87	1735	17983
88	1736	17773
89	1737	17568
90	1740	17389
91	1742	17195
92	1743	17003
93	1744	16814
94	1745	16630
95	1746	16449
96	1747	16272
97	1749	16098
98	1750	15928
99	1751	15762
100	1752	15599
101	1755	15454
102	1756	15298
103	1758	15145
104	1759	14996
105	1760	14849
106	1762	14706
107	1763	14566
108	1764	14426
109	1766	14288
110	1767	14154
111	1770	14038
112	1771	13908
113	1773	13781
114	1774	13655
115	1775	13531
116	1776	13407
117	1777	13287
118	1778	13169
119	1780	13053
120	1781	12939
121	1782	12825
122	1785	12727
123	1786	12619
124	1787	12514
125	1788	12409
126	1789	12304
127	1791	12202
128	1792	12102
129	1793	12003
130	1794	11905
131	1795	11809
132	1796	11714
133	1800	11632
134	1801	11542
135	1802	11451
136	1803	11361
137	1804	11273
138	1806	11186
139	1807	11101
140	1808	11016
141	1809	10931
142	1810	10848
143	1811	10767
144	1812	10687
145	1814	10614
146	1815	10536
147	1817	10460
148	1818	10384
149	1819	10310
150	1820	10236
151	1821	10163
152	1822	10091
153	1824	10020
154	1825	9950
155	1826	9881
156	1829	9821
157	1830	9754
158	1831	9688
159	1832	9622
160	1833	9555
161	1834	9491
162	1835	9427
163	1837	9364
164	1838	9302
165	1839	9241
166	1840	9180
167	1842	9127
168	1845	9073
169	1846	9017
170	1848	8960
171	1849	8904
172	1852	8853
173	1853	8799
174	1854	8744
175	1856	8690
176	1860	8649
177	1861	8595
178	1862	8542
179	1863	8490
180	1864	8438
181	1866	8386
182	1867	8335
183	1868	8285
184	1869	8235
185	1870	8185
186	1871	8137
187	1873	8090
188	1874	8042
189	1875	7995
190	1876	7948
191	1877	7902
192	1878	7856
193	1880	7811
194	1881	7766
195	1882	7722
196	1883	7677
197	1885	7636
198	1887	7596
199	1888	7554
200	1889	7511
201	1890	7469
202	1892	7428
203	1893	7387
204	1894	7346
205	1895	7306
206	1896	7266
207	1897	7226
208	1898	7187
209	1902	7155
210	1903	7117
211	1904	7078
212	1905	7041
213	1906	7004
214	1908	6966
215	1909	6930
216	1910	6893
217	1911	6856
218	1912	6821
219	1913	6785
220	1916	6756
221	1918	6721
222	1919	6687
223	1920	6653
224	1921	6618
225	1922	6584
226	1923	6551
227	1925	6518
228	1926	6485
229	1927	6453
230	1928	6420
231	1931	6395
232	1933	6363
233	1934	6331
234	1935	6300
235	1936	6269
236	1937	6238
237	1938	6207
238	1939	6176
239	1941	6146
240	1942	6116
241	1943	6087
242	1945	6061
243	1947	6033
244	1948	6004
245	1950	5976
246	1951	5948
247	1952	5920
248	1954	5894
249	1955	5866
250	1956	5839
251	1958	5812
252	1961	5791
253	1962	5765
254	1964	5738
255	1965	5712
256	1989	5751
257	1994	5736
258	1997	5714
259	2000	5694
260	2003	5673
261	2009	5660
262	2012	5639
263	2015	5618
264	2018	5598
265	2024	5585
266	2027	5565
267	2029	5544
268	2031	5520
269	2033	5497
270	2037	5480
271	2039	5457
272	2040	5434
273	2042	5411
274	2044	5389
275	2045	5366
276	2048	5345
277	2050	5324
278	2052	5305
279	2054	5283
280	2056	5261
281	2057	5239
282	2059	5216
283	2060	5194
284	2061	5171
285	2062	5149
286	2063	5126
287	2066	5109
288	2067	5087
289	2069	5066
290	2070	5044
291	2071	5022
292	2072	5001
293	2074	4980
294	2075	4959
295	2076	4938
296	2077	4917
297	2079	4897
298	2081	4880
299	2082	4860
300	2084	4839
301	2085	4819
302	2086	4799
303	2087	4779
